2,,CH,8524618,,,Gladiator PrepMax Act. 15 gal,,0,0,0,0,703.39,,,,,,8524618,,0,1,N,N,EA,EA,EA,1,1,703.39,703.39,,703.39,703.39,703.39,703.39,703.39,41,41,690.142,690.142,690.142,415,415,415,,X,0,,0,,03/24/20,,,,0,01/27/17,03/31/18,10/01/16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,703.39,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,04/18/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
2,,CH,8524621,,,Gladiator PrepMax Base 15 gal,,0,0,0,0,1382.92,1,,,,,8524621,,0,1,N,N,EA,EA,EA,1,1,1382.92,1382.92,,1382.92,1382.92,1382.92,1382.92,1382.92,41,69.991,815.92,815.92,815.92,415,415,415,,X,0,,0,,03/24/20,,,,0,01/27/17,08/08/22,10/01/16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,1382.92,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,08/08/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
2,W,CH,8524606,,,Udderdine 110G NPE Free 55 gal,,0,0,0,0,835.19,1,,,,,8524606,,0,1,N,N,EA,EA,EA,1,1,835.19,835.19,,835.19,835.19,835.19,835.19,835.19,40.99,58.816,492.76,492.76,492.76,343.965,343.965,343.965,,X,0,,0,,03/24/20,,,,0,05/27/21,08/08/22,10/01/16,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,0,68,0,,,2,1231,688,688,0,,,,,,EA,,0,,0,0,Y,835.19,,,,,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,08/08/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
2,,CH,8524328,,,COMMAND 53.5 GAL,8524328,0,0,0,0,1890.51,1,,8524328,,,8524328,,0,1,N,N,EA,EA,EA,1,1,1890.51,1890.51,,1890.51,1890.51,1890.51,1890.51,1890.51,39,54.139,1115.4,1115.4,1115.4,867,867,867,,X,0,,0,,03/24/20,,,,0,,08/08/22,06/01/15,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,,,,,,EA,,0,,0,0,Y,1890.51,,,,522,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,08/08/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
2,S8B2,CH,8524219,,,AquaSoft 1 gal,8524219,11,0,0,11,26.87,1,,8524357,,,1507300,,0,2,N,Y,EA,EA,EA,4,4,26.87,26.87,,26.87,26.87,26.87,26.87,26.87,44.6,52.054,15.82,15.82,15.82,12.883,12.883,12.883,,X,0,,0,,03/24/20,,,,0,09/18/20,08/25/22,03/03/10,07/31/15,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,W,T-KT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,49,0,,,0,0,0,0,0,,,,,,CS,,0,,0,0,Y,107.49,,,1,9,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,08/25/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,9,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
2,S8C3,CH,8521153,,,Tru-Blu Chlor 125 5 gal,8521153,0,0,0,0,61.51,1,,8521153,,,5208000,,0,1,N,N,EA,EA,EA,1,1,61.51,61.51,,61.51,61.51,61.51,61.51,61.51,36.17,60.982,36.29,36.29,36.29,24,24,24,,X,0,,0,,03/24/20,,,,0,07/16/20,08/08/22,06/05/01,07/31/15,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,W,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,144,0,,,0,0,0,0,0,,,,,,EA,,0,,-3,0,Y,61.51,,,1,55,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,08/08/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
3,WH,CH,1440250,,,IDEAL LAUNDRY DETERGENT NPF 50#,,0,0,0,0,100.83,781,,401135,,TH,1440250,,0,1,N,N,EA,EA,EA,1,1,100.83,100.83,,100.83,100.83,100.83,100.83,100.83,45,54.986,57.725,57.725,57.725,45.388,45.388,45.388,,X,0,,0,,04/15/20,,,,0,08/27/21,04/26/22,03/28/18,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,3,0,,,1,83,45,45,0,,,,,,EA,,0,,0,0,Y,75.65,,,,50,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,12/30/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
1,781,CH,2540005,,,"T-PROX, 5 GAL PAIL",490575026244,8,0,0,8,42.16,781,,2016245,,TH,2540005,,0,1,N,N,EA,EA,EA,1,1,42.16,42.16,,42.16,42.16,42.16,42.16,42.16,50,48.601,24.45,24.45,24.45,21.67,21.67,21.67,,X,0,,0,,04/30/20,,,,0,10/05/21,08/26/22,04/22/15,12/19/18,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,,,,0,159,0,,,1,37,22,22,0,,,,,,EA,,0,,0,0,Y,40.75,,,,47.3,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,05/18/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,7,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
1,70,CH,0128-002,,,Quarter Mate  15gl,,-1,0,0,-1,204.35,70,,880128002,,,4088200,,0,1,N,N,UN,UN,UN,1,1,204.35,204.35,,204.35,204.35,204.35,204.35,204.35,37.44,40,122.61,122.61,122.61,122.61,122.61,122.61,,X,0,,0,,05/04/20,,,,0,04/28/20,12/08/20,07/13/09,12/19/18,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,53,0,,,0,0,0,0,0,,,,,,EA,,0,,-2,0,Y,180,,,1,139,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,05/04/20,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
3,,CH,1378150,,,CLOGUARD B CLEAR  DIOXIDE 260,,0,0,0,0,1093.79,781,,307028,,TH,1378150,,0,1,N,N,EA,EA,EA,1,1,1093.79,1093.79,,1093.79,1093.79,1093.79,1093.79,1093.79,45,63.104,487.626,487.626,487.626,403.563,403.563,403.563,,X,0,,0,,05/05/20,,,,0,,09/12/22,05/05/20,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,,,,,,EA,,0,,-1,0,Y,1048.66,,,,2346,LB,N,,,,,,,,,N,,0,0,,,0,0,0,Y,O,Y,12/19/22,,,0,0,,,,,,,,,,,,,,,,,,,,,,N,,,,Y,N,,,Y,,,,,,,,1,,,,,Weblink,,,,,,,,,,,,,,,,,,N,
